doc_id,item,category,amount,price,discount
mofUcXl1E6,Полотенце,текстиль,6,107.15,0.0
mofUcXl1E6,Мерный стакан,кухонная утварь,4,59.98,0.0
mofUcXl1E6,Ложка,кухонная утварь,7,52.94,0.0
mofUcXl1E6,Стиральный порошок,бытовая химия,2,48.8,0.0
DtOreY10RW,Чайник,посуда,10,31.8,3.18
7yq8QBPXU7,Сковорода,посуда,3,41.57,0.0
CVQFhD1q7l,Ложка,кухонная утварь,7,9.29,0.46
CVQFhD1q7l,Тарелка,посуда,8,83.71,12.56
CVQFhD1q7l,Средство для мытья посуды,бытовая химия,6,92.0,0.0
CVQFhD1q7l,Мерный стакан,кухонная утварь,3,94.18,0.0
vQtzBq1CQa,Нож резак,кухонная утварь,9,3.75,0.0
vQtzBq1CQa,Чайник,посуда,6,9.73,0.49
mLpqQXNSib,Стиральный порошок,бытовая химия,1,92.59,13.89
IDZBdLzmIC,Постельное белье,текстиль,9,40.36,4.04
g3STfe6evb,Постельное белье,текстиль,7,91.09,0.0
g3STfe6evb,Нож резак,кухонная утварь,1,90.76,0.0
