doc_id,item,category,amount,price,discount
GAR9omiXAn,Нож резак,кухонная утварь,2,58.15,0.0
GAR9omiXAn,Нож резак,кухонная утварь,4,23.36,0.0
GAR9omiXAn,Тарелка,посуда,10,7.6,0.0
7HUevV49ds,Мерный стакан,кухонная утварь,9,76.66,0.0
d7rIWuSY1Y,Нож резак,кухонная утварь,3,13.03,1.95
d7rIWuSY1Y,Отбеливатель,бытовая химия,8,75.0,0.0
JLAPjB2Bmp,Мерный стакан,кухонная утварь,1,26.96,0.0
JLAPjB2Bmp,Нож резак,кухонная утварь,8,20.81,0.0
JLAPjB2Bmp,Отбеливатель,бытовая химия,3,37.64,0.0
JLAPjB2Bmp,Сковорода,посуда,8,97.28,0.0
jS8GHWuen0,Наволочка,текстиль,1,88.64,0.0
jS8GHWuen0,Нож резак,кухонная утварь,3,11.51,0.0
jS8GHWuen0,Ложка,кухонная утварь,3,108.98,0.0
jS8GHWuen0,Мерный стакан,кухонная утварь,4,82.34,4.12
iaIiDJKLPv,Тарелка,посуда,6,80.81,4.04
iaIiDJKLPv,Нож резак,кухонная утварь,2,82.28,0.0
iaIiDJKLPv,Сковорода,посуда,5,99.62,0.0
gbLmZE5Hrt,Стиральный порошок,бытовая химия,6,59.69,0.0
gbLmZE5Hrt,Чайник,посуда,6,83.68,12.55
gbLmZE5Hrt,Наволочка,текстиль,5,74.43,0.0
RZSPrgtKGp,Сковорода,посуда,7,4.72,0.0
RZSPrgtKGp,Стиральный порошок,бытовая химия,10,103.28,0.0
RZSPrgtKGp,Нож резак,кухонная утварь,4,37.28,3.73
TmMsrF4OiB,Средство для мытья посуды,бытовая химия,10,95.85,9.58
TmMsrF4OiB,Средство для мытья посуды,бытовая химия,10,11.71,0.0
TmMsrF4OiB,Ложка,кухонная утварь,9,20.69,0.0
7vNi9j3gh2,Ложка,кухонная утварь,5,59.51,0.0
7vNi9j3gh2,Мерный стакан,кухонная утварь,8,65.57,6.56
