doc_id,item,category,amount,price,discount
ayMSvVU2rV,Нож резак,кухонная утварь,8,95.94,0.0
ayMSvVU2rV,Отбеливатель,бытовая химия,3,8.86,1.33
ayMSvVU2rV,Тарелка,посуда,8,7.8,0.39
2MddELE4Sj,Сковорода,посуда,9,76.98,3.85
x0bKi1tbh7,Полотенце,текстиль,6,101.94,5.1
K1rytXkwvV,Чайник,посуда,6,39.98,0.0
K1rytXkwvV,Наволочка,текстиль,3,67.76,0.0
K1rytXkwvV,Средство для мытья посуды,бытовая химия,4,86.24,0.0
YqL3h2kYF4,Стиральный порошок,бытовая химия,2,51.05,0.0
YqL3h2kYF4,Отбеливатель,бытовая химия,6,9.62,0.0
YqL3h2kYF4,Тарелка,посуда,1,41.64,0.0
YqL3h2kYF4,Стиральный порошок,бытовая химия,10,81.89,0.0
qFLVW8BeuX,Ложка,кухонная утварь,8,82.38,12.36
qFLVW8BeuX,Сковорода,посуда,9,45.66,0.0
